7.58,1.91,2,27,0,1,1979
7.75,1.89,2,28,0,1,1980
7.65,1.91,2,29,0,1,1981
7.47,1.89,2,30,0,1,1982
7.5,1.94,2,31,0,1,1983
7.5,1.93,2,32,0,1,1984
7.56,2.12,2,33,0,1,1985
7.76,1.94,2,34,0,1,1986
7.86,1.99,2,35,0,1,1987
7.82,1.98,2,36,0,1,1988
7.2,2.54,4,35,0,2,1979
6.95,2.52,3,37,1,2,1980
7.24,2.59,3,37,1,2,1981
7.46,2.51,3,38,1,2,1982
6.81,2.77,3,39,0,2,1983
5.44,1.43,2,40,0,2,1984
5.08,1.72,1,42,1,2,1985
5.85,1.86,1,42,0,2,1986
7.69,1.83,1,43,0,2,1987
7.63,1.79,0,44,0,2,1988
7.43,2.39,0,26,1,3,1979
7.25,2.38,0,27,0,3,1980
7.62,2.58,0,28,0,3,1981
7.59,2.6,0,29,0,3,1982
7.63,2.55,0,30,0,3,1983
7.35,2.57,0,31,0,3,1984
7.3,2.64,0,32,1,3,1985
7.6,2.71,0,33,0,3,1986
7.66,2.72,0,34,0,3,1987
7.62,2.64,0,35,1,3,1988
7.8,2.23,0,22,0,4,1979
7.72,2.44,0,23,0,4,1980
7.66,2.32,0,24,0,4,1981
7.72,2.34,1,25,0,4,1982
7.88,2.29,1,26,0,4,1983
7.92,2.39,1,27,0,4,1984
7.84,2.21,1,28,0,4,1985
7.96,2.14,2,29,0,4,1986
7.86,2.32,2,30,0,4,1987
8.01,1.98,2,31,0,4,1988
7.65,2.31,3,31,0,5,1979
7.86,2.43,3,33,0,5,1980
7.7,2.43,3,34,0,5,1981
7.8,2.34,3,35,0,5,1982
7.74,2.29,3,36,0,5,1983
7.71,2.54,3,36,0,5,1984
7.78,2.56,2,38,0,5,1985
7.74,2.51,2,39,0,5,1986
7.8,2.6,2,39,0,5,1987
7.73,2.56,2,41,0,5,1988
7.86,2.64,2,31,0,6,1979
7.71,2.63,2,32,0,6,1980
7.75,2.68,2,33,0,6,1981
7.92,2.81,2,34,0,6,1982
7.75,2.9,2,36,0,6,1983
7.68,2.74,2,36,0,6,1984
7.7,2.88,2,37,0,6,1985
7.88,2.58,2,38,0,6,1986
7.77,2.83,2,39,0,6,1987
7.69,2.76,1,40,0,6,1988
8.29,2.49,4,43,0,7,1979
8.02,2.52,3,44,0,7,1980
8.22,2.17,3,46,0,7,1981
8.26,2.5,2,46,0,7,1982
8.28,2.11,2,47,0,7,1983
8.25,2.23,2,48,0,7,1984
8.03,2.36,2,50,0,7,1985
8.37,2.23,2,50,0,7,1986
8.26,2.06,2,52,0,7,1987
8.35,2.45,2,53,0,7,1988
7.52,2.23,1,37,0,8,1979
7.55,2.2,1,38,0,8,1980
7.53,2.18,1,39,0,8,1981
7.56,2.17,1,40,0,8,1982
7.61,1.99,1,41,0,8,1983
7.71,2.17,1,42,0,8,1984
7.42,2.17,1,43,0,8,1985
7.59,2.15,1,44,0,8,1986
7.61,2.18,1,45,0,8,1987
7.69,2.18,0,46,0,8,1988
7.47,2.35,1,27,0,9,1979
7.57,2.35,1,28,0,9,1980
7.25,2.34,1,29,0,9,1981
7.38,2.39,2,29,0,9,1982
7.3,2.48,2,31,0,9,1983
7.61,2.5,2,32,0,9,1984
7.55,2.64,2,33,0,9,1985
7.56,2.61,2,33,0,9,1986
7.6,2.67,2,35,0,9,1987
7.67,2.79,2,36,0,9,1988
7.55,2.82,0,46,0,10,1979
7.68,2.87,0,47,0,10,1980
6.59,2.86,0,48,0,10,1981
7.73,2.89,0,49,0,10,1982
7.64,2.9,0,50,0,10,1983
7.73,2.9,0,51,0,10,1984
7.72,2.93,0,52,0,10,1985
7.64,2.93,0,53,0,10,1986
7.62,2.84,0,54,0,10,1987
7.74,2.93,0,55,0,10,1988
7.72,2.28,1,22,0,11,1979
7.6,2.28,2,23,0,11,1980
7.62,2.28,2,24,0,11,1981
7.62,2.31,2,25,0,11,1982
7.59,2.21,2,26,0,11,1983
7.6,2.98,3,27,0,11,1984
7.64,2.99,3,28,0,11,1985
7.6,2.97,3,29,0,11,1986
7.62,2.94,3,30,0,11,1987
7.64,3.01,3,31,0,11,1988
7.62,2.73,0,28,0,12,1979
7.61,2.76,0,29,0,12,1980
7.66,2.75,0,30,0,12,1981
7.53,2.74,0,32,0,12,1982
7.29,2.86,0,32,0,12,1983
7.92,2.77,0,32,0,12,1984
7.86,2.68,2,34,0,12,1985
7.86,2.56,2,35,0,12,1986
7.79,2.53,3,36,0,12,1987
7.89,2.64,3,37,0,12,1988
7.76,2.65,1,41,0,13,1979
8.1,2.55,1,42,0,13,1980
7.94,2.68,1,43,0,13,1981
8.08,2.7,1,44,0,13,1982
7.73,2.51,2,45,0,13,1983
7.5,2.73,1,46,0,13,1984
7.56,2.55,1,47,0,13,1985
7.24,2.73,1,48,0,13,1986
7.57,2.69,1,49,0,13,1987
7.56,2.71,1,50,1,13,1988
7.76,3.23,0,31,0,14,1979
7.78,3.17,0,32,0,14,1980
7.8,3.13,1,33,0,14,1981
7.88,3.05,1,34,0,14,1982
7.89,3.37,2,35,0,14,1983
7.71,3.37,3,36,0,14,1984
7.79,3.25,3,37,0,14,1985
7.68,3.43,3,38,0,14,1986
7.71,3.2,3,39,0,14,1987
7.92,3.12,3,40,0,14,1988
7.97,3.18,1,51,0,15,1979
7.77,3.09,1,52,0,15,1980
7.84,2.99,1,52,0,15,1981
7.77,3.05,0,53,0,15,1982
7.9,2.95,0,55,0,15,1983
7.8,3.02,0,56,0,15,1984
7.76,3.01,0,57,0,15,1985
7.88,2.89,0,58,0,15,1986
7.79,2.98,0,58,0,15,1987
7.74,2.96,0,59,0,15,1988
7.88,2.92,2,40,0,16,1979
7.7,2.96,2,41,0,16,1980
7.7,2.86,2,42,0,16,1981
7.7,2.77,2,43,0,16,1982
7.78,2.83,2,44,0,16,1983
7.77,2.9,2,45,0,16,1984
7.7,2.95,2,46,0,16,1985
7.88,2.99,1,47,0,16,1986
7.81,2.86,1,48,0,16,1987
7.73,2.85,1,49,0,16,1988
7.64,2.66,2,36,0,17,1979
7.84,2.92,2,37,0,17,1980
7.9,2.86,3,37,0,17,1981
7.54,2.78,3,39,0,17,1982
7.81,2.9,3,40,0,17,1983
7.58,2.92,3,41,0,17,1984
7.63,2.97,3,42,0,17,1985
7.56,2.85,2,44,0,17,1986
7.6,2.84,2,44,0,17,1987
7.61,2.85,2,45,0,17,1988
7.74,1.97,0,22,0,18,1979
7.77,1.77,0,23,0,18,1980
7.81,2.31,0,24,0,18,1981
7.79,2.29,1,25,0,18,1982
7.74,2.48,1,26,0,18,1983
7.52,2.58,2,27,0,18,1984
7.52,2.59,3,29,0,18,1985
7.4,2.28,3,30,0,18,1986
7.72,2.61,3,31,0,18,1987
7.56,2.59,3,32,0,18,1988
7.87,2.87,2,32,0,19,1979
7.49,2.74,2,33,0,19,1980
7.36,2.72,2,34,0,19,1981
7.45,2.69,2,35,0,19,1982
